Filename,TextGridLabel,NormalizedDuration,F1_midpoint,F2_midpoint,f0_midpoint,Vowel,Stress,Repetition,Word,Segment,Frame,Syllnum,Intensity
M1A10,a1,0.047027694956936976,487.0489667,1317.49106,NA,a,N,1,katuko,O,1,three,74.5741045
M1A10,U2,0.050573899749979445,388.1304626,1905.949991,208.567955,u,Y,1,katuko,O,1,three,77.54650437
M1A10,o3,0.1808741638555455,589.1541677,910.7525968,NA,o,N,1,katuko,O,1,three,71.19130366
M1A10,a4,0.036131041205843054,481.5976224,1329.82792,NA,a,N,1,katuko,O,2,three,74.09843979
M1A10,U5,0.040717101555156496,391.5359539,961.4666711,218.9599477,u,Y,1,katuko,O,2,three,75.56564106
M1A10,o6,0.10769201965535267,819.973864,1732.316462,92.39727054,o,N,1,katuko,O,2,three,72.45327416
M1A11,e0,0.057929609583683594,541.296805,1422.663081,122.9170207,e,N,1,cepelinas,R,1,four,76.71333164
M1A11,e10,0.036176960782324324,386.8067593,1541.801715,133.3313666,e,N,1,cepelinas,R,1,four,75.64306014
M1A11,I20,0.08535411235938946,445.4938119,1350.690546,155.5067432,i,Y,1,cepelinas,R,1,four,79.32386066
M1A11,a30,0.1085029937605241,531.4569988,1272.626338,NA,a,N,1,cepelinas,R,1,four,67.19740059
M1A11,e00,0.03284578050879101,433.8753956,1374.418238,NA,e,N,1,cepelinas,R,2,four,73.04990021
M1A11,e40,0.038211913618956345,399.3421108,1447.102666,98.32406708,e,N,1,cepelinas,R,2,four,72.35570025
M1A11,I50,0.07999666048398343,434.0436415,1607.005639,158.1088874,i,Y,1,cepelinas,R,2,four,77.54637671
M1A11,a60,0.05702588067477981,437.0704142,1190.916355,115.7439681,a,N,1,cepelinas,R,2,four,75.79495956
M1A12,e1,0.05798555948033294,418.7326295,1526.680054,106.9525102,e,N,1,deguto,O,1,three,81.00330249
M1A12,U2,0.07990849735462391,343.4330754,974.274276,157.8043472,u,Y,1,deguto,O,1,three,80.35029075
M1A12,o3,0.0987997049739486,615.336665,1004.399195,NA,o,N,1,deguto,O,1,three,72.20883896
M1A12,e4,0.07086401666749502,419.5864815,1501.458331,100.4101638,e,N,1,deguto,O,2,three,77.52051481
M1A12,U5,0.07796879536340458,413.9530091,1306.60997,207.7575475,u,Y,1,deguto,O,2,three,79.15372271
M1A12,o3,0.11884502325567074,694.3195384,883.1996326,91.75883968,o,N,1,deguto,O,1,three,70.89609408
M1A14,y1,0.04565176528713716,272.8202515,2289.914253,117.7047653,y,N,1,mygtukus,O,1,three,71.1498383
M1A14,u2,0.022686282315121733,565.9373826,1901.138326,118.4779774,u,N,1,mygtukus,O,1,three,72.3250544
M1A14,U3,0.07705279761795109,432.2860568,1061.767034,122.194758,u,Y,1,mygtukus,O,1,three,78.12221043
M1A14,y4,0.06258361879650436,274.4637067,2153.766574,119.0760598,y,N,1,mygtukus,O,2,three,75.10596282
M1A14,u5,0.032453842618341514,429.0245815,1999.3002,113.1277154,u,N,1,mygtukus,O,2,three,73.22424548
M1A14,U6,0.0840086916769176,379.65829,1141.929044,191.1257488,u,Y,1,mygtukus,O,2,three,78.33055071
M1A15,y1,0.06583585703618484,244.9408886,2079.690895,111.0471342,y,N,1,tylumo,R,1,three,70.14526335
M1A15,U2,0.06308728822902049,480.243228,1847.066746,163.0005893,u,Y,1,tylumo,R,1,three,80.10053809
M1A15,o3,0.07313453154791955,518.8012239,791.8993443,91.32597674,o,N,1,tylumo,R,1,three,73.10209202
M1A15,y4,0.06003080228550712,296.6364889,1579.469613,112.6838685,y,N,1,tylumo,R,2,three,71.43304386
M1A15,U5,0.04741718467303024,434.3145751,815.1958406,155.8646256,u,Y,1,tylumo,R,2,three,76.41425922
M1A15,o6,0.09330029297205691,526.819642,834.6229151,94.62079621,o,N,1,tylumo,R,2,three,72.78609588
M1A16,a0,0.04177724364065345,549.2131148,1367.072089,116.8796554,a,N,1,apetitu,O,1,four,71.42456538
M1A16,e10,0.05580861905958817,404.9687921,1509.154759,107.9139335,e,N,1,apetitu,O,1,four,73.37805386
M1A16,i20,0.04472350754820112,386.6384618,1088.82307,102.7620229,i,N,1,apetitu,O,1,four,69.23170527
M1A16,U30,0.11035831689777455,442.6343479,988.3406162,130.4828836,u,Y,1,apetitu,O,1,four,74.78867382
M1A16,a00,0.03647543566555779,408.4157174,1085.192829,133.786153,a,N,1,apetitu,O,2,four,70.78669661
M1A16,e40,0.04359035217987852,393.9933521,1483.49239,102.0161375,e,N,1,apetitu,O,2,four,73.48015092
M1A16,I50,0.05809654096084757,372.5396171,1349.873105,169.6062497,i,Y,1,apetitu,O,2,four,76.85268751
M1A16,u60,0.07344735633807918,427.1187179,1149.37105,103.6746903,u,N,1,apetitu,O,2,four,76.26914458
M1A17,a0,0.04393722684416494,507.5274807,971.2243729,NA,a,N,1,kalakuto,O,1,four,71.05356081
M1A17,a10,0.043922044722380246,455.4149024,997.8632618,115.0680848,a,N,1,kalakuto,O,1,four,73.02443839
M1A17,U20,0.04073274287416873,368.3183624,983.171202,185.5940155,u,Y,1,kalakuto,O,1,four,78.34616647
M1A17,o30,0.07512132940722185,506.428237,991.1523163,96.34330007,o,N,1,kalakuto,O,1,four,74.1631186
M1A17,a00,0.04406167623087685,444.4942943,850.2465347,102.2701149,a,N,1,kalakuto,O,2,four,69.41406662
M1A17,a40,0.04613389281104572,483.1021085,989.7567557,100.5878898,a,N,1,kalakuto,O,2,four,70.90332472
M1A17,U50,0.06505978823027754,416.5431801,953.3039974,221.683845,u,Y,1,kalakuto,O,2,four,78.23281074
M1A17,o60,0.11378857113596876,527.2054149,1071.376218,100.9179658,o,N,1,kalakuto,O,2,four,75.4333403
M1A18,a1,0.09734511636034816,509.1630007,1169.755421,116.1109568,a,N,1,ratukus,O,1,three,73.49486166
M1A18,u2,0.04346113606445626,404.0731914,1082.004084,136.6925222,u,N,1,ratukus,O,1,three,72.75233792
M1A18,U3,0.10378135323064269,466.2321358,1162.991825,110.548068,u,Y,1,ratukus,O,1,three,73.45769887
M1A18,a4,0.043701229661512665,458.1525151,1036.512675,103.5320875,a,N,1,ratukus,O,2,three,70.08614086
M1A18,u5,0.033744213613305464,522.0393339,1868.00851,103.2853273,u,N,1,ratukus,O,2,three,69.64923328
M1A18,U6,0.05609471511065768,411.538062,1179.982005,138.5449112,u,Y,1,ratukus,O,2,three,74.19205026
M1A19,a1,0.0579020983907922,631.7404811,1285.213312,NA,a,N,1,paketas,O,1,three,67.27300614
M1A19,E2,0.1115291220537686,627.0439194,1639.7198,82.29443651,e,Y,1,paketas,O,1,three,71.0342569
M1A19,a3,0.0813515031804209,440.8478901,1219.78076,NA,a,N,1,paketas,O,1,three,64.72765826
M1A19,a4,0.052464188198218666,255.8380479,1476.9735229999999,NA,a,N,1,paketas,O,2,three,63.99882456
M1A19,E5,0.09838673994243483,548.3027907,1599.405453,176.5309538,e,Y,1,paketas,O,2,three,76.40213948
M1A19,a6,0.0856955242833723,446.0742472,1268.605537,93.3011498,a,N,1,paketas,O,2,three,68.18363382
M1A20,e1,0.10085982331670587,377.7273586,1973.549657,100.3615456,e,N,1,remimo,R,1,three,75.50823179
M1A20,I2,0.06849133734688113,362.1807098,1719.712995,130.186276,i,Y,1,remimo,R,1,three,76.33505784
M1A20,o3,0.10444635766103187,459.8479992,876.9391792,84.65356227,o,N,1,remimo,R,1,three,71.38508249
M1A20,e4,0.08854296658077397,387.8284981,1837.303269,94.88459167,e,N,1,remimo,R,2,three,73.62958093
M1A20,I5,0.0686304238561729,373.1356451,1683.761502,180.1437749,i,Y,1,remimo,R,2,three,77.54545198
M1A20,o6,0.16507078505881512,456.9103164,936.7400333,94.82369164,o,N,1,remimo,R,2,three,74.54171061
M1A22,e1,0.06823248081316671,398.1263011,1530.116791,107.7650727,e,N,1,degutu,O,1,three,76.53393727
M1A22,u2,0.04476914401070324,359.0814917,1293.718469,124.2969547,u,N,1,degutu,O,1,three,76.19184832
M1A22,U3,0.092806313982007,480.8575191,1100.184806,110.821064,u,Y,1,degutu,O,1,three,76.69800553
M1A22,e4,0.0755472978240375,387.0686121,1601.245759,98.89180309,e,N,1,degutu,O,2,three,76.7542737
M1A22,u5,0.0569981734856333,368.2053734,1457.821225,96.438598,u,N,1,degutu,O,2,three,74.56885886
M1A22,U6,0.09388609002482366,455.1098464,796.4165976,192.3351125,u,Y,1,degutu,O,2,three,75.92874816
M1A23,y1,0.04931943790085441,276.2936999,2121.425362,114.3427166,y,N,1,mygtuko,O,1,three,72.00362793
M1A23,U2,0.0659730193137078,495.1826076,1728.603697,165.4907657,u,Y,1,mygtuko,O,1,three,75.94124451
M1A23,o3,0.07963438503686013,634.5085653,1700.464808,NA,o,N,1,mygtuko,O,1,three,67.10242015
M1A23,y4,0.03489471950286026,255.0733978,2023.114925,100.717688,y,N,1,mygtuko,O,2,three,70.29995484
M1A23,U5,0.03351147629019588,427.0974616,1420.147407,150.2782228,u,Y,1,mygtuko,O,2,three,75.61259455
M1A23,o6,0.05185463377480525,483.5878288,922.0178987,87.50430956,o,N,1,mygtuko,O,2,three,71.51654058
M1A24,a1,0.041829950538652315,454.2186863,1187.372924,NA,a,N,1,katukus,O,1,three,71.94064197
