Filename,TextGridLabel,duration,f0_midpoint,F1_midpoint,F2_midpoint
M1A10,fix1,0.633201316,--undefined--,659.6776915,2320.837116
M1A10,a1,0.043955903,--undefined--,487.0489667,1317.49106
M1A10,U2,0.047270474,208.567955,388.1304626,1905.949991
M1A10,o3,0.169059683,--undefined--,589.1541677,910.7525968
M1A10,a4,0.037527525,--undefined--,481.5976224,1329.82792
M1A10,U5,0.042290839,218.9599477,391.5359539,961.4666711
M1A10,o6,0.111854373,92.39727054,819.973864,1732.316462
M1A10,fix2,0.711286123,115.454775,423.5395252,1389.305634
M1A11,fix1,0.773145339,138.2283976,268.5274024,1996.428764
M1A11,e0,0.06611248,122.9170207,541.296805,1422.663081
M1A11,e10,0.041287152,133.3313666,386.8067593,1541.801715
M1A11,I20,0.097410842,155.5067432,445.4938119,1350.690546
M1A11,a30,0.123829628,--undefined--,531.4569988,1272.626338
M1A11,e00,0.03077842,--undefined--,433.8753956,1374.418238
M1A11,e40,0.035806801,98.32406708,399.3421108,1447.102666
M1A11,I50,0.074961556,158.1088874,434.0436415,1607.005639
M1A11,a60,0.05343659,115.7439681,437.0704142,1190.916355
M1A11,fix2,0.641714164,131.0276144,367.0074585,1392.058346
M1A12,fix1,0.71159353,141.1653509,168.3846558,1779.689986
M1A12,e1,0.060907889,106.9525102,418.7326295,1526.680054
M1A12,U2,0.083935689,157.8043472,343.4330754,974.274276
M1A12,o3,0.103778967,--undefined--,615.336665,1004.399195
M1A12,e4,0.064107212,100.4101638,419.5864815,1501.458331
M1A12,U5,0.070534558,207.7575475,413.9530091,1306.60997
M1A12,o3,0.12483452,91.75883968,694.3195384,883.1996326
M1A12,fix2,0.619520975,122.3436904,338.3359394,1355.352106
M1A14,fix1,0.754657993,--undefined--,338.2685521,1824.894204
M1A14,y1,0.050854508,117.7047653,272.8202515,2289.914253
M1A14,u2,0.025271744,118.4779774,565.9373826,1901.138326
M1A14,U3,0.085834186,122.194758,432.2860568,1061.767034
M1A14,y4,0.070593004,119.0760598,274.4637067,2153.766574
M1A14,u5,0.036607251,113.1277154,429.0245815,1999.3002
M1A14,U6,0.094760035,191.1257488,379.65829,1141.929044
M1A14,fix2,0.772459789,111.3543283,399.3827557,1321.483937
M1A15,fix1,0.753883123,154.9320397,270.6970732,1863.581242
M1A15,y1,0.073263594,111.0471342,244.9408886,2079.690895
M1A15,U2,0.070204926,163.0005893,480.243228,1847.066746
M1A15,o3,0.08138572,91.32597674,518.8012239,791.8993443
