Filename,TextGridLabel,Intensity
M1A10,fix1,57.54524576
M1A10,a1,74.5741045
M1A10,U2,77.54650437
M1A10,o3,71.19130366
M1A10,a4,74.09843979
M1A10,U5,75.56564106
M1A10,o6,72.45327416
M1A10,fix2,72.49917263
M1A11,fix1,70.34860194
M1A11,e0,76.71333164
M1A11,e10,75.64306014
M1A11,I20,79.32386066
M1A11,a30,67.19740059
M1A11,e00,73.04990021
M1A11,e40,72.35570025
M1A11,I50,77.54637671
M1A11,a60,75.79495956
M1A11,fix2,73.6284898
M1A12,fix1,60.68166555
M1A12,e1,81.00330249
M1A12,U2,80.35029075
M1A12,o3,72.20883896
M1A12,e4,77.52051481
M1A12,U5,79.15372271
M1A12,o3,70.89609408
M1A12,fix2,71.30251727
M1A14,fix1,58.87104957
M1A14,y1,71.1498383
M1A14,u2,72.3250544
M1A14,U3,78.12221043
M1A14,y4,75.10596282
M1A14,u5,73.22424548
M1A14,U6,78.33055071
M1A14,fix2,72.88669892
M1A15,fix1,72.61768781
M1A15,y1,70.14526335
M1A15,U2,80.10053809
M1A15,o3,73.10209202
M1A15,y4,71.43304386
M1A15,U5,76.41425922
M1A15,o6,72.78609588
M1A15,fix2,68.57830547
M1A16,fix1,70.87133464
M1A16,a0,71.42456538
M1A16,e10,73.37805386
M1A16,i20,69.23170527
M1A16,U30,74.78867382
M1A16,a00,70.78669661
M1A16,e40,73.48015092
M1A16,I50,76.85268751
M1A16,u60,76.26914458
M1A16,fix2,69.85381764
M1A17,fix1,62.08942059
M1A17,a0,71.05356081
M1A17,a10,73.02443839
M1A17,U20,78.34616647
M1A17,o30,74.1631186
M1A17,a00,69.41406662
M1A17,a40,70.90332472
M1A17,U50,78.23281074
M1A17,o60,75.4333403
M1A17,fix2,73.90755129
M1A18,fix1,61.89632592
M1A18,a1,73.49486166
M1A18,u2,72.75233792
M1A18,U3,73.45769887
M1A18,a4,70.08614086
M1A18,u5,69.64923328
M1A18,U6,74.19205026
M1A18,fix2,68.60860998
M1A19,fix1,72.60587273
M1A19,a1,67.27300614
M1A19,E2,71.0342569
M1A19,a3,64.72765826
M1A19,a4,63.99882456
M1A19,E5,76.40213948
M1A19,a6,68.18363382
M1A19,fix2,71.73530451
M1A20,fix1,73.24004414
M1A20,e1,75.50823179
M1A20,I2,76.33505784
M1A20,o3,71.38508249
